0,شعب مريض حتا في لي كمونتير تع الشروق تسبو بعضاكم و تتعايرو ههههههه ربي يهدينا ؤ يهديكم
1,فيف بوقرة نشآلله _ ال عام _ ال جاي في ريال مدريد
1,مع بومدين جوسكا ل موت
1,فيف بلادي والله يحفض ولاد بلادي و ربي معاكم و نشالله منصورين
1,123 رانا معاك يا سعدان يا سعدان فيف لالجيري
0,سي نو حنا رانا روطار نسحقو _ 4 G عندنا لي بورطابل و كاين دراهم خصنا ال راي !!!
1,سعدان صايي سي بون خلاص ال كونطرا هه بزاف الله يعطيك ال صحة وصلتنا _ لي ال مونديال و شكلتها و ڨاع مي معليش ربي يخليك سا في واحد ڨرو بليزير مين لعبنا
0,مالكم معقدين من ل مراركة
0,"_ صيروم , _ أنيستيزي , و معاه سرير في الجبانة"
1,نشالله ل الجيري كوب دو موند 2010 شحاتة نشالله 2014 مع لالجيري
0,"سي طرو _ طار , خاطكش جابولنا لا سيفيار"
0,ؤ _ _ لاخر خاطب يبروفيتي مع ال فرحة يوخد طفلة
0,ناييف مساكن مازالهم _ يامنو أنت تلعب مع لي أميريكان
0,صحا يا بنبوزيد يعطيك الصحة على واش درتي فينا سي فري نو أون بو ريان تو فار مي تينكيات با يا ديو تي بو با تيشابي دو لوي الله لا تربحك يا حقار حسبي الله _ و نعم الوكيل عليك
1,_ 123 فيفا _ ل ألجيري و تاني يعطيكم الصحة صطيف شرفتونا و تاني فيف مولودية و هاد ال عام شامبيوني
1,بوزيد خير من بلعيد ؤ مجاني يستحق يلعب مع _ _  الفريق الوطني
1,هادي حاجة مليحة أنا تساعدني
0,كلشي كدب كلشي _ فو ، قولي وين لا فيريتي
0,راجل أمها كلب _ كي عود وحدو يستفعل فيها
0,نشالله يحكمو عليه _ ب ال مؤبد باه ماي عاودش شي لي قاعد إدير فيه
1,ميرسي عمي بوتاف
0,ال  خبيث إروح إقابلها طول ل _ ال قبلة قبل ورا قبل حتى تصبح عند ال قابلة
0,يخي _ ال غلطة تع _ ل كبار
1,ربي معاكم نشالله و تربحو رواندا و سورتو ماصر ال حمدلله حتى هنا خفنا عليك ربي معانا كونطر مروك يا ربي
0,ريبونص ؤ نيمرو 7 لا بريسانص فاس ء فاس أفيك واحد جويف سي لا ريكونيصانس دو ليتا هيبرو نعلهم
0,أويحيى ولله ما نسمحلك عند ربي كار جو طرافاي با و جي پوسي واحد دوسي بور افوار ؤون فواتور پار فاسيليتي لافواتور كووت 40 مليون لي فري دو دوسي مون كوتي 14 مليون و لا طاكس كووت 7 مليون سافي لو تو 21 مليون بور افوار 40 مليون سي نورمال پور ؤن جون كي ٱ پوسي سون دوسي a \
0,هدرة بلا مزيتك إمالا عاود روحك و ولي لعقلك
